reference;type_article;designation;prix_achat;devise_prix_achat;prix_vente;devise_prix_vente;tva;remarque;marque;categorie;emplacement;unite
ART75002707;Produit;Mitigeur lavabo sans vidage, avec flexibles de raccordement. Black Metal Br. Pvd.;901;EUR;;MAD;20;;;;;
ART75002708;Produit;Mitigeur lavabo sans vidage, avec flexibles de raccordement. Copper Brushed Pvd.;901;EUR;;MAD;20;;;;;
ART75002710;Produit;Mitigeur lavabo sans vidage, avec flexibles de raccordement. Brass Pvd.;844;EUR;;MAD;20;;;;;
ART75002720;Produit;Mitigeur lavabo sans vidage, avec flexibles de raccordement. Nickel Pvd.;844;EUR;;MAD;20;;;;;
ART75002727;Produit;Mitigeur lavabo sans vidage, avec flexibles de raccordement. Brass Brushed Pvd.;901;EUR;;MAD;20;;;;;
ART75002735;Produit;Mitigeur lavabo sans vidage, avec flexibles de raccordement. Warm Bronze Pvd.;844;EUR;;MAD;20;;;;;
ART75002845;Produit;Mitigeur lavabo sans vidage, avec flexibles de raccordement. Dark Bronze.;901;EUR;;MAD;20;;;;;
ART75002791;Produit;Mitigeur lavabo sans vidage, avec flexibles de raccordement. Deep Bronze Brushed Pvd.;958;EUR;;MAD;20;;;;;
ART75002761;Produit;Mitigeur lavabo sans vidage, avec flexibles de raccordement. Coffee Bronze Brushed Pvd.;958;EUR;;MAD;20;;;;;
ART54412726;Produit;Mélangeur moyen sans vidage avec flexibles de raccordement. Warm Bronze Br. Pvd.;1,374;EUR;;MAD;20;;;;;
ART54412708;Produit;Mélangeur moyen sans vidage avec flexibles de raccordement. Copper Brushed Pvd.;1,374;EUR;;MAD;20;;;;;
ART54412727;Produit;Mélangeur moyen sans vidage avec flexibles de raccordement. Brass Brushed Pvd.;1,374;EUR;;MAD;20;;;;;
ART54412707;Produit;Mélangeur moyen sans vidage avec flexibles de raccordement. Black Metal Br. Pvd.;1,374;EUR;;MAD;20;;;;;
ART54412239;Produit;Mélangeur moyen sans vidage avec flexibles de raccordement. Steel Brushed.;930;EUR;;MAD;20;;;;;
ART54412299;Produit;Mélangeur moyen sans vidage avec flexibles de raccordement. Matte Black.;1,253;EUR;;MAD;20;;;;;
ART58455726;Produit;Porte-papier mural horizontal ou vertical. Warm Bronze Br. Pvd.;406;EUR;;MAD;20;;;;;
ART58455716;Produit;Porte-papier mural horizontal ou vertical. Gold Brushed Pvd.;434;EUR;;MAD;20;;;;;
ART58455708;Produit;Porte-papier mural horizontal ou vertical. Copper Brushed Pvd.;406;EUR;;MAD;20;;;;;
ART58455246;Produit;Porte-papier mural horizontal ou vertical. Gold Pvd.;431;EUR;;MAD;20;;;;;
ART58455710;Produit;Porte-papier mural horizontal ou vertical. Brass Pvd.;381;EUR;;MAD;20;;;;;
ART58455299;Produit;Porte-papier mural horizontal ou vertical. Matte Black.;348;EUR;;MAD;20;;;;;
ART58455031;Produit;Porte-papier mural horizontal ou vertical. Chrome.;258;EUR;;MAD;20;;;;;
ART58455720;Produit;Porte-papier mural horizontal ou vertical. Nickel Pvd.;381;EUR;;MAD;20;;;;;
ART58455149;Produit;Porte-papier mural horizontal ou vertical. Finox Brushed Nickel.;348;EUR;;MAD;20;;;;;
ART58455727;Produit;Porte-papier mural horizontal ou vertical. Brass Brushed Pvd.;406;EUR;;MAD;20;;;;;
ART58455187;Produit;Porte-papier mural horizontal ou vertical. Aged Bronze.;406;EUR;;MAD;20;;;;;
ART58455735;Produit;Porte-papier mural horizontal ou vertical. Warm Bronze Pvd.;381;EUR;;MAD;20;;;;;
ART58455030;Produit;Porte-papier mural horizontal ou vertical. Copper Pvd.;381;EUR;;MAD;20;;;;;
ART58455707;Produit;Porte-papier mural horizontal ou vertical. Black Metal Br. Pvd.;406;EUR;;MAD;20;;;;;
ART58455706;Produit;Porte-papier mural horizontal ou vertical. Black Metal Pvd.;381;EUR;;MAD;20;;;;;
ART58455713;Produit;Porte-papier mural horizontal ou vertical. Antique Brass.;406;EUR;;MAD;20;;;;;
ART58455845;Produit;Porte-papier mural horizontal ou vertical. Dark Bronze.;406;EUR;;MAD;20;;;;;
ART63655726;Produit;Porte-papier mural Warm Bronze Br. Pvd.;157;EUR;;MAD;20;;;;;
ART63655031;Produit;Porte-papier mural Chrome.;99;EUR;;MAD;20;;;;;
ART63655727;Produit;Porte-papier mural Brass Brushed Pvd.;157;EUR;;MAD;20;;;;;
ART63655149;Produit;Porte-papier mural Finox Brushed Nickel.;135;EUR;;MAD;20;;;;;
ART63655735;Produit;Porte-papier mural Warm Bronze Pvd.;146;EUR;;MAD;20;;;;;
ART63655187;Produit;Porte-papier mural Aged Bronze.;157;EUR;;MAD;20;;;;;
ART63655713;Produit;Porte-papier mural Antique Brass.;157;EUR;;MAD;20;;;;;
ART63655845;Produit;Porte-papier mural Dark Bronze.;157;EUR;;MAD;20;;;;;
ART63655030;Produit;Porte-papier mural Copper Pvd.;146;EUR;;MAD;20;;;;;
ART63655706;Produit;Porte-papier mural Black Metal Pvd.;146;EUR;;MAD;20;;;;;
ART63655707;Produit;Porte-papier mural Black Metal Br. Pvd.;157;EUR;;MAD;20;;;;;
ART63655716;Produit;Porte-papier mural Gold Brushed Pvd.;167;EUR;;MAD;20;;;;;
ART63655708;Produit;Porte-papier mural Copper Brushed Pvd.;157;EUR;;MAD;20;;;;;
ART63655246;Produit;Porte-papier mural Gold Pvd.;166;EUR;;MAD;20;;;;;
ART63655710;Produit;Porte-papier mural Brass Pvd.;146;EUR;;MAD;20;;;;;
ART63655720;Produit;Porte-papier mural Nickel Pvd.;146;EUR;;MAD;20;;;;;
ART63655279;Produit;Porte-papier mural Matte White.;135;EUR;;MAD;20;;;;;
ART63655299;Produit;Porte-papier mural Matte Black.;135;EUR;;MAD;20;;;;;
